match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
18698,2022-10-31 19:45:00,Monza,Bologna,1,2,59.58,0.4125,0.3264,-0.1514,0.817,1497.67,1499.03
18711,2022-11-04 18:45:00,Udinese,Lecce,1,1,64.18,0.4211,0.3216,-0.1638,1.224,1501.95,1497.97
18704,2022-11-05 14:00:00,Empoli,Sassuolo,1,0,58.85,0.4111,0.3271,-0.1494,0.829,1498.3,1498.74
18709,2022-11-05 14:00:00,Salernitana,Cremonese,2,2,63.8,0.4204,0.322,-0.1627,1.228,1500.07,1496.48
18702,2022-11-05 17:00:00,Atalanta,Napoli,1,2,57.61,0.4088,0.3284,-0.1461,0.829,1502.62,1505.96
18706,2022-11-05 19:45:00,AC Milan,Spezia,2,1,66.34,0.4251,0.3194,-0.1696,0.826,1503.64,1496.61
18703,2022-11-06 11:30:00,Bologna,Torino,2,1,59.45,0.4123,0.3265,-0.151,0.831,1499.38,1499.23
18707,2022-11-06 14:00:00,Monza,Verona,2,0,61.62,0.4163,0.3243,-0.1569,1.316,1498.22,1495.5
18710,2022-11-06 14:00:00,Sampdoria,Fiorentina,0,2,57.27,0.4082,0.3288,-0.1452,1.318,1495.37,1499.6
18708,2022-11-06 17:00:00,Roma,Lazio,0,1,58.53,0.4106,0.3275,-0.1486,0.831,1501.64,1504.06
18705,2022-11-06 19:45:00,Juventus,Inter,2,0,60.38,0.414,0.3256,-0.1535,1.316,1503.08,1501.58
18718,2022-11-08 17:30:00,Napoli,Empoli,2,0,67.66,0.4276,0.318,-0.1732,1.319,1506.5,1497.75
18720,2022-11-08 17:30:00,Spezia,Udinese,1,1,54.66,0.4034,0.3315,-0.1382,1.238,1496.53,1502.04
18712,2022-11-08 19:45:00,Cremonese,AC Milan,0,0,52.84,0.4,0.3333,-0.1334,1.238,1496.39,1503.72
18717,2022-11-09 17:30:00,Lecce,Atalanta,2,1,55.36,0.4047,0.3307,-0.1401,0.839,1498.34,1502.26
18719,2022-11-09 17:30:00,Sassuolo,Roma,1,1,57.11,0.4079,0.3289,-0.1448,1.241,1498.65,1501.73
18713,2022-11-09 19:45:00,Fiorentina,Salernitana,2,1,59.53,0.4124,0.3264,-0.1513,0.838,1499.96,1499.72
18715,2022-11-09 19:45:00,Inter,Bologna,6,1,62.2,0.4174,0.3237,-0.1584,1.943,1502.4,1498.57
18721,2022-11-09 19:45:00,Torino,Sampdoria,2,0,63.87,0.4205,0.3219,-0.1629,1.325,1499.79,1494.81
18714,2022-11-10 17:30:00,Verona,Juventus,0,1,52.42,0.3992,0.3338,-0.1322,0.843,1495.02,1503.55
18716,2022-11-10 19:45:00,Lazio,Monza,1,0,65.84,0.4242,0.3199,-0.1683,0.838,1504.41,1497.87
18724,2022-11-11 19:45:00,Empoli,Cremonese,2,0,61.36,0.4158,0.3245,-0.1562,1.334,1498.32,1495.83
18729,2022-11-12 14:00:00,Napoli,Udinese,3,2,64.47,0.4216,0.3213,-0.1646,0.843,1506.86,1501.69
18731,2022-11-12 17:00:00,Sampdoria,Lecce,0,2,56.48,0.4067,0.3296,-0.1431,1.341,1494.05,1499.1
18723,2022-11-12 19:45:00,Bologna,Sassuolo,3,0,59.91,0.4131,0.326,-0.1523,1.689,1499.28,1497.94
