id,isResult,h,a,goals,xG,datetime,forecast
23117,True,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '4', 'a': '2'}","{'h': '2.34923', 'a': '1.54627'}",2023-10-01 13:30:00,"{'w': '0.5853', 'd': '0.2358', 'l': '0.1789'}"
23118,True,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '2', 'a': '0'}","{'h': '1.2721', 'a': '1.00081'}",2023-10-01 15:30:00,"{'w': '0.4295', 'd': '0.3226', 'l': '0.2479'}"
23119,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '2', 'a': '2'}","{'h': '3.01512', 'a': '1.21309'}",2023-10-06 18:30:00,"{'w': '0.7907', 'd': '0.1393', 'l': '0.07'}"
23120,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '4', 'a': '2'}","{'h': '1.76935', 'a': '1.5245'}",2023-10-07 13:30:00,"{'w': '0.4127', 'd': '0.3148', 'l': '0.2725'}"
23121,True,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '0', 'a': '0'}","{'h': '2.22631', 'a': '0.741054'}",2023-10-07 13:30:00,"{'w': '0.792', 'd': '0.1525', 'l': '0.0555'}"
23122,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '1', 'a': '2'}","{'h': '1.18473', 'a': '1.96153'}",2023-10-07 13:30:00,"{'w': '0.1951', 'd': '0.222', 'l': '0.5829'}"
23123,True,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '3', 'a': '1'}","{'h': '3.02575', 'a': '1.06355'}",2023-10-07 13:30:00,"{'w': '0.8572', 'd': '0.1043', 'l': '0.0385'}"
23124,True,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '3'}","{'h': '1.03064', 'a': '1.52805'}",2023-10-07 16:30:00,"{'w': '0.2184', 'd': '0.2815', 'l': '0.5001'}"
23125,True,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '3', 'a': '0'}","{'h': '3.72502', 'a': '1.41915'}",2023-10-08 13:30:00,"{'w': '0.8561', 'd': '0.0981', 'l': '0.0458'}"
23126,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '3', 'a': '0'}","{'h': '2.37438', 'a': '0.0704987'}",2023-10-08 15:30:00,"{'w': '0.9446', 'd': '0.0521', 'l': '0.0033'}"
23127,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '2', 'a': '0'}","{'h': '1.83609', 'a': '0.625618'}",2023-10-08 17:30:00,"{'w': '0.7269', 'd': '0.2075', 'l': '0.0656'}"
23128,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '0'}","{'h': '2.7285', 'a': '0.53973'}",2023-10-20 18:30:00,"{'w': '0.861', 'd': '0.1037', 'l': '0.0353'}"
